Delivery_person_Age,Delivery_person_Ratings,Weather_conditions,Road_traffic_density,Vehicle_condition,Type_of_order,Type_of_vehicle,multiple_deliveries,Festival,City,pickup_time,Order_Month,Distance,Time_taken (min),Time_pickup_(Min),Order_Day
23.0,4.6,Sandstorms,Medium,0,Meal,motorcycle,1.0,No,Metropolitian,,4,16.64,20.0,9.98,4.0
21.0,4.7,Sandstorms,High,1,Buffet,motorcycle,1.0,No,Urban,,3,5.96,17.0,5.0,7.0
37.0,4.9,Sunny,Low,2,Meal,electric_scooter,0.0,No,Metropolitian,,2,7.63,13.0,5.0,13.0
39.0,4.8,Windy,Jam,2,Drinks,scooter,0.0,No,Metropolitian,,3,4.72,27.0,9.98,11.0
30.0,4.9,Stormy,Jam,0,Buffet,motorcycle,1.0,No,Metropolitian,,3,17.08,40.0,10.0,10.0
28.0,4.7,Cloudy,Jam,2,Snack,motorcycle,0.0,No,Metropolitian,,2,16.65,39.0,9.98,14.0
26.0,4.7,Cloudy,Medium,0,Buffet,motorcycle,1.0,No,Metropolitian,,3,6.08,27.0,9.98,11.0
26.0,4.9,Sandstorms,Low,2,Meal,motorcycle,1.0,No,Urban,,3,1.55,16.0,9.98,13.0
27.0,4.7,Fog,Jam,0,Snack,motorcycle,1.0,No,Metropolitian,,4,20.25,41.0,10.0,4.0
26.0,4.2,Fog,Jam,1,Snack,scooter,1.0,No,Metropolitian,,4,19.69,44.0,9.98,6.0
32.0,4.4,Sandstorms,Jam,1,Snack,motorcycle,1.0,No,Urban,,2,10.42,35.0,9.98,14.0
29.0,3.6,Sunny,High,0,Meal,motorcycle,0.0,No,Metropolitian,,3,5.96,44.0,15.0,28.0
24.0,4.9,Windy,Medium,0,Snack,motorcycle,1.0,No,Urban,,3,10.87,23.0,15.0,4.0
30.0,4.3,Stormy,Low,0,Meal,motorcycle,1.0,No,Metropolitian,,3,4.61,33.0,15.0,5.0
30.0,4.4,Sandstorms,Low,0,Drinks,motorcycle,1.0,No,Metropolitian,,3,1.51,22.0,15.0,30.0
32.0,5.0,Sunny,Low,2,Meal,electric_scooter,0.0,No,Metropolitian,,3,1.49,10.0,5.0,30.0
26.0,4.6,Cloudy,Medium,2,Snack,scooter,0.0,No,Metropolitian,,3,4.61,15.0,9.98,24.0
29.0,4.3,Stormy,Jam,0,Buffet,motorcycle,0.0,No,Metropolitian,,2,14.15,32.0,10.0,16.0
24.0,5.0,Stormy,Jam,2,Buffet,scooter,0.0,No,Urban,,4,7.65,11.0,10.0,1.0
36.0,5.0,Sunny,High,2,Drinks,electric_scooter,1.0,No,Metropolitian,,3,6.21,22.0,15.0,26.0
34.0,4.7,Stormy,Low,2,Meal,motorcycle,0.0,No,Metropolitian,,3,9.44,24.0,15.0,3.0
24.0,4.8,Windy,High,1,Meal,motorcycle,0.0,No,Metropolitian,,4,1.53,27.0,9.98,1.0
39.0,4.1,Cloudy,Jam,1,Drinks,scooter,1.0,No,Metropolitian,,3,10.6,48.0,10.0,14.0
38.0,4.7,Cloudy,Medium,2,Drinks,electric_scooter,1.0,No,Metropolitian,,3,13.99,40.0,5.0,18.0
31.0,4.8,Sunny,Low,2,Buffet,scooter,0.0,No,Metropolitian,,3,1.52,16.0,5.0,9.0
21.0,4.9,Fog,High,0,Meal,motorcycle,1.0,No,Urban,,3,3.02,29.0,5.0,3.0
27.0,4.4,Stormy,Low,0,Snack,motorcycle,1.0,No,Metropolitian,,3,3.06,19.0,5.0,5.0
26.0,4.9,Sunny,High,2,Drinks,scooter,0.0,No,Metropolitian,,3,1.55,10.0,10.0,17.0
24.0,4.4,Cloudy,Jam,1,Snack,motorcycle,2.0,No,Metropolitian,,3,12.24,40.0,5.0,23.0
23.0,5.0,Windy,Jam,0,Buffet,motorcycle,0.0,No,Urban,,3,4.61,20.0,5.0,28.0
32.0,4.6,Fog,Low,0,Drinks,motorcycle,1.0,No,Metropolitian,,2,8.93,29.0,10.0,13.0
23.0,4.7,Sunny,High,1,Buffet,motorcycle,0.0,No,Urban,,3,1.53,13.0,10.0,21.0
21.0,4.7,Cloudy,Jam,1,Meal,scooter,2.0,No,Metropolitian,,4,20.21,41.0,15.0,6.0
35.0,4.4,Cloudy,High,2,Buffet,electric_scooter,1.0,No,Metropolitian,,3,3.02,37.0,5.0,21.0
31.0,4.8,Stormy,Low,2,Meal,motorcycle,1.0,No,Urban,,4,3.1,27.0,15.0,3.0
38.0,4.6,Fog,Jam,2,Buffet,motorcycle,1.0,No,Metropolitian,,3,4.67,32.0,5.0,9.0
23.0,4.7,Cloudy,Medium,0,Drinks,motorcycle,1.0,No,Metropolitian,,4,10.64,32.0,9.98,6.0
20.0,4.4,Fog,Jam,2,Snack,motorcycle,1.0,No,Metropolitian,,3,16.72,34.0,15.0,23.0
28.0,4.9,Sunny,Low,0,Meal,motorcycle,0.0,No,Urban,,3,3.15,10.0,5.0,24.0
39.0,4.9,Cloudy,Low,1,Meal,motorcycle,0.0,No,Metropolitian,,4,1.51,18.0,10.0,1.0
34.0,4.4,Sandstorms,Medium,0,Drinks,motorcycle,1.0,No,Metropolitian,,3,19.98,36.0,15.0,12.0
30.0,4.8,Sandstorms,Medium,1,Drinks,motorcycle,1.0,No,Metropolitian,,4,5.96,25.0,9.98,1.0
34.0,3.8,Windy,Jam,1,Buffet,scooter,0.0,No,Metropolitian,,3,19.62,34.0,5.0,6.0
36.0,3.8,Sunny,Jam,2,Meal,motorcycle,1.0,No,Metropolitian,,2,16.65,33.0,5.0,16.0
23.0,4.5,Fog,Medium,0,Meal,motorcycle,1.0,No,Metropolitian,,4,19.92,39.0,9.98,2.0
31.0,4.9,Stormy,Low,1,Drinks,scooter,0.0,No,Metropolitian,,3,12.58,24.0,5.0,23.0
22.0,4.6,Cloudy,Medium,0,Drinks,motorcycle,1.0,No,Metropolitian,,3,10.87,31.0,5.0,16.0
23.0,4.9,Windy,High,1,Meal,scooter,0.0,No,Metropolitian,,3,1.55,22.0,5.0,3.0
29.566910587697237,4.8,Sandstorms,Low,2,Drinks,scooter,1.0,No,Metropolitian,,3,3.02,26.0,9.98,26.0
25.0,4.6,Windy,Low,1,Buffet,scooter,0.0,No,Urban,,3,9.32,19.0,5.0,13.0
29.566910587697237,4.8,Cloudy,Low,2,Meal,scooter,1.0,No,Metropolitian,,3,3.12,16.0,9.98,24.0
33.0,5.0,Stormy,High,1,Meal,scooter,1.0,No,Metropolitian,,3,3.03,26.0,5.0,13.0
24.0,4.8,Fog,Low,2,Drinks,motorcycle,0.0,No,Metropolitian,,3,3.02,13.0,15.0,17.0
26.0,4.8,Windy,Medium,2,Meal,electric_scooter,1.0,No,Metropolitian,,4,6.29,23.0,9.98,3.0
28.0,4.8,Windy,High,1,Buffet,motorcycle,1.0,No,Metropolitian,,3,3.15,20.0,10.0,30.0
34.0,4.7,Sandstorms,Low,1,Meal,scooter,0.0,No,Metropolitian,,4,12.24,18.0,10.0,4.0
20.0,4.9,Cloudy,Jam,2,Buffet,scooter,1.0,No,Urban,,3,7.56,33.0,9.98,13.0
32.0,4.7,Sandstorms,Low,1,Drinks,motorcycle,1.0,No,Urban,,2,1.51,26.0,15.0,17.0
31.0,4.6,Cloudy,Medium,0,Snack,motorcycle,1.0,No,Metropolitian,,3,4.61,34.0,15.0,7.0
26.0,4.9,Stormy,Low,1,Buffet,motorcycle,1.0,No,Metropolitian,,2,10.28,15.0,10.0,14.0
21.0,4.9,Sunny,Medium,1,Buffet,scooter,1.0,No,Metropolitian,,3,6.29,11.0,5.0,17.0
24.0,4.5,Stormy,Medium,1,Meal,motorcycle,0.0,No,Metropolitian,,3,13.61,27.0,9.98,8.0
34.0,4.7,Cloudy,Medium,2,Drinks,scooter,0.0,No,Metropolitian,,3,4.66,18.0,9.98,26.0
31.0,3.6,Sandstorms,Jam,1,Snack,scooter,1.0,No,Metropolitian,,3,10.91,35.0,10.0,29.0
30.0,4.9,Windy,Jam,0,Snack,motorcycle,2.0,No,Metropolitian,,4,13.58,49.0,10.0,6.0
20.0,4.5,Sunny,Medium,1,Meal,scooter,1.0,No,Metropolitian,,4,17.14,16.0,5.0,6.0
25.0,4.5,Stormy,Jam,1,Snack,scooter,1.0,No,Urban,,4,10.88,26.0,10.0,4.0
20.0,4.1,Fog,Medium,2,Snack,scooter,1.0,No,Metropolitian,,3,13.58,36.0,15.0,20.0
32.0,4.8,Sunny,Jam,0,Buffet,motorcycle,1.0,No,Metropolitian,,3,4.66,27.0,5.0,5.0
31.0,4.2,Cloudy,Jam,1,Drinks,motorcycle,1.0,No,Metropolitian,,3,10.87,37.0,5.0,10.0
21.0,4.5,Sandstorms,Low,0,Drinks,motorcycle,0.0,No,Metropolitian,,3,1.53,23.0,5.0,24.0
38.0,4.5,Sandstorms,Jam,1,Drinks,motorcycle,1.0,No,Metropolitian,,3,16.72,40.0,9.98,6.0
21.0,4.5,Sunny,Jam,2,Buffet,motorcycle,0.0,No,Urban,,3,7.76,10.0,10.0,17.0
38.0,4.8,Sunny,Low,2,Meal,motorcycle,0.0,No,Metropolitian,,3,7.45,13.0,15.0,30.0
22.0,4.8,Windy,Jam,1,Drinks,motorcycle,1.0,No,Urban,,3,16.85,17.0,9.98,31.0
23.0,4.6,Fog,High,0,Meal,motorcycle,1.0,No,Metropolitian,,3,6.04,21.0,15.0,21.0
38.0,5.0,Windy,Jam,2,Drinks,electric_scooter,1.0,No,Metropolitian,,3,9.33,32.0,10.0,9.0
26.0,4.6,Sunny,Jam,0,Snack,motorcycle,0.0,No,Metropolitian,,3,12.42,24.0,5.0,25.0
32.0,4.6,Sandstorms,Jam,1,Meal,scooter,1.0,No,Metropolitian,,2,13.74,28.0,5.0,12.0
29.0,5.0,Stormy,Medium,2,Snack,motorcycle,0.0,No,Metropolitian,,3,7.76,26.0,5.0,9.0
36.0,4.7,Sunny,High,0,Buffet,motorcycle,0.0,No,Metropolitian,,3,5.96,21.0,10.0,7.0
28.0,4.7,Sandstorms,Jam,0,Drinks,motorcycle,1.0,No,Metropolitian,,3,9.22,22.0,15.0,11.0
20.0,4.5,Cloudy,Low,0,Meal,motorcycle,0.0,No,Metropolitian,,3,9.12,21.0,5.0,17.0
23.0,5.0,Fog,Medium,2,Drinks,scooter,0.0,No,Metropolitian,,3,9.22,15.0,9.98,3.0
33.0,4.7,Fog,High,2,Meal,scooter,1.0,No,Metropolitian,,3,1.55,25.0,9.98,11.0
39.0,4.8,Stormy,Medium,2,Meal,scooter,1.0,No,Metropolitian,,4,6.21,33.0,10.0,5.0
29.566910587697237,4.8,Fog,Low,3,Drinks,electric_scooter,1.0,No,Metropolitian,,4,6.29,41.0,9.98,3.0
30.0,4.6,Stormy,Jam,0,Meal,motorcycle,0.0,No,Metropolitian,,3,4.66,37.0,10.0,11.0
33.0,4.0,Sandstorms,Jam,0,Snack,motorcycle,1.0,No,Metropolitian,,3,17.08,51.0,5.0,4.0
36.0,4.8,Windy,Low,0,Snack,motorcycle,1.0,No,Metropolitian,,3,16.83,29.0,5.0,23.0
34.0,4.1,Sandstorms,Jam,1,Meal,scooter,1.0,No,Metropolitian,,3,9.19,32.0,9.98,26.0
27.0,4.7,Cloudy,Jam,1,Drinks,motorcycle,0.0,No,Urban,,4,4.47,34.0,5.0,5.0
24.0,4.6,Fog,Low,1,Drinks,motorcycle,0.0,No,Urban,,3,19.88,23.0,9.98,31.0
36.0,4.2,Sandstorms,Low,0,Meal,motorcycle,0.0,No,Urban,,3,7.57,34.0,9.98,7.0
25.0,4.6,Fog,Jam,1,Buffet,scooter,1.0,No,Metropolitian,,3,10.64,37.0,5.0,6.0
38.0,4.2,Cloudy,Jam,0,Meal,motorcycle,0.0,No,Metropolitian,,3,7.56,33.0,5.0,9.0
20.0,4.9,Windy,Medium,0,Meal,motorcycle,0.0,No,Metropolitian,,3,4.54,27.0,9.98,11.0
39.0,4.9,Cloudy,High,1,Drinks,scooter,1.0,No,Metropolitian,,3,1.49,32.0,9.98,26.0
27.0,4.5,Sandstorms,Low,2,Buffet,motorcycle,1.0,No,Metropolitian,,3,13.97,10.0,15.0,10.0
30.0,4.5,Fog,Low,2,Drinks,electric_scooter,0.0,No,Metropolitian,,2,3.12,16.0,9.98,15.0
34.0,4.6,Cloudy,Medium,1,Buffet,scooter,1.0,No,Urban,,3,4.59,17.0,5.0,11.0
26.0,4.8,Sunny,Low,2,Snack,scooter,1.0,No,Metropolitian,,3,1.55,24.0,9.98,1.0
36.0,4.1,Windy,Jam,0,Snack,motorcycle,1.0,No,Metropolitian,,4,7.76,39.0,10.0,3.0
21.0,4.5,Stormy,Jam,2,Snack,motorcycle,1.0,No,Urban,,3,10.64,26.0,15.0,14.0
28.0,5.0,Sunny,Medium,0,Buffet,motorcycle,1.0,No,Urban,,3,13.76,21.0,9.98,23.0
38.0,4.6,Sunny,Jam,0,Snack,motorcycle,1.0,No,Metropolitian,,3,4.61,25.0,9.98,17.0
31.0,4.3,Sandstorms,Low,0,Buffet,motorcycle,1.0,No,Metropolitian,,2,1.5,21.0,5.0,11.0
29.566910587697237,4.8,Fog,Low,3,Drinks,electric_scooter,1.0,No,Urban,,2,18387.88,17.0,9.98,11.0
34.0,4.9,Fog,Medium,2,Drinks,scooter,1.0,No,Metropolitian,,3,10.88,36.0,5.0,4.0
34.0,4.5,Cloudy,Jam,0,Snack,motorcycle,0.0,No,Metropolitian,,3,4.72,28.0,15.0,7.0
38.0,4.0,Windy,Jam,0,Snack,motorcycle,0.0,No,Metropolitian,,3,12.58,41.0,5.0,20.0
39.0,4.8,Sunny,Medium,1,Drinks,motorcycle,1.0,No,Urban,,3,13.99,22.0,10.0,12.0
32.0,4.9,Stormy,Jam,2,Drinks,electric_scooter,1.0,No,Metropolitian,,3,16.9,28.0,10.0,16.0
38.0,4.6,Stormy,Low,2,Snack,electric_scooter,0.0,No,Urban,,4,9.31,24.0,10.0,1.0
39.0,4.6,Cloudy,Jam,0,Buffet,motorcycle,1.0,No,Urban,,3,4.59,28.0,9.98,21.0
35.0,4.6,Fog,Jam,0,Drinks,motorcycle,1.0,No,Metropolitian,,3,17.08,40.0,10.0,10.0
39.0,4.3,Stormy,Jam,1,Meal,motorcycle,2.0,No,Metropolitian,,3,8.94,33.0,5.0,5.0
24.0,4.2,Windy,Jam,0,Meal,motorcycle,1.0,No,Urban,,3,10.43,38.0,9.98,2.0
33.0,4.9,Cloudy,Jam,1,Snack,scooter,1.0,No,Metropolitian,,3,10.87,47.0,9.98,6.0
26.0,4.7,Stormy,Jam,1,Buffet,scooter,1.0,No,Metropolitian,,3,17.1,16.0,10.0,4.0
37.0,4.5,Stormy,Medium,1,Meal,scooter,1.0,No,Metropolitian,,2,16.61,39.0,15.0,18.0
22.0,4.7,Sunny,Low,2,Drinks,motorcycle,1.0,No,Metropolitian,,3,4.66,22.0,15.0,15.0
29.0,4.9,Cloudy,Low,2,Meal,motorcycle,0.0,No,Metropolitian,,3,3.06,11.0,9.98,13.0
21.0,4.8,Cloudy,High,0,Buffet,motorcycle,1.0,No,Metropolitian,,3,3.03,20.0,5.0,30.0
34.0,4.3,Stormy,Jam,0,Drinks,motorcycle,1.0,Yes,Metropolitian,,3,13.68,39.0,15.0,23.0
33.0,4.1,Stormy,High,0,Snack,motorcycle,2.0,No,Metropolitian,,2,1.54,49.0,5.0,11.0
30.0,4.6,Sunny,Medium,0,Snack,motorcycle,1.0,No,Metropolitian,,3,6.15,25.0,5.0,24.0
29.0,4.4,Sandstorms,Low,0,Drinks,motorcycle,0.0,No,Metropolitian,,3,1.53,16.0,5.0,30.0
22.0,4.9,Cloudy,Jam,1,Meal,motorcycle,1.0,No,Metropolitian,,2,4.48,29.0,5.0,15.0
32.0,4.1,Cloudy,Medium,2,Meal,scooter,1.0,No,Urban,,3,10.88,40.0,15.0,4.0
24.0,4.8,Sunny,Medium,2,Buffet,scooter,0.0,No,Metropolitian,,3,16.38,16.0,5.0,31.0
35.0,4.6,Fog,Jam,2,Meal,electric_scooter,0.0,No,Metropolitian,,2,4.68,29.0,5.0,11.0
34.0,4.2,Stormy,Low,0,Snack,motorcycle,0.0,No,Metropolitian,,2,4.63,30.0,5.0,15.0
23.0,4.6,Windy,Low,1,Drinks,scooter,1.0,No,Metropolitian,,3,10.64,13.0,10.0,14.0
23.0,4.6,Windy,Medium,2,Buffet,scooter,1.0,No,Metropolitian,,3,7.6,22.0,5.0,21.0
30.0,4.7,Sandstorms,Medium,0,Meal,motorcycle,1.0,No,Metropolitian,,3,9.33,29.0,5.0,9.0
27.0,4.8,Cloudy,High,1,Buffet,motorcycle,0.0,No,Urban,,4,6.08,24.0,9.98,3.0
27.0,4.8,Stormy,Low,1,Drinks,scooter,0.0,No,Metropolitian,,3,1.51,19.0,15.0,7.0
30.0,4.2,Fog,High,2,Drinks,electric_scooter,0.0,No,Metropolitian,,3,6.23,36.0,10.0,7.0
28.0,5.0,Fog,Low,2,Buffet,scooter,0.0,No,Metropolitian,,3,1.55,12.0,15.0,15.0
34.0,4.7,Sandstorms,Low,2,Meal,electric_scooter,1.0,No,Metropolitian,,2,6755.0,18.0,10.0,12.0
35.0,4.0,Stormy,Low,0,Snack,motorcycle,0.0,No,Metropolitian,,3,1.51,21.0,5.0,30.0
26.0,4.8,Sunny,Medium,0,Snack,motorcycle,1.0,No,Urban,,3,19.66,28.0,10.0,10.0
29.566910587697237,4.8,Cloudy,Low,2,Buffet,scooter,1.0,No,Urban,,3,9.32,15.0,9.98,24.0
29.0,5.0,Stormy,High,2,Meal,electric_scooter,1.0,No,Metropolitian,,4,6.15,15.0,9.98,1.0
22.0,4.8,Windy,Low,2,Meal,scooter,0.0,No,Metropolitian,,4,7.65,15.0,15.0,3.0
37.0,3.9,Windy,Jam,2,Meal,scooter,1.0,No,Metropolitian,,3,19.36,37.0,15.0,2.0
35.0,4.8,Cloudy,Jam,0,Snack,motorcycle,3.0,No,Metropolitian,,3,10.56,48.0,5.0,10.0
27.0,4.7,Windy,Jam,2,Drinks,scooter,0.0,No,Metropolitian,,3,17.1,25.0,5.0,4.0
23.0,4.7,Cloudy,Jam,0,Snack,motorcycle,1.0,No,Metropolitian,,4,17.3,48.0,10.0,2.0
31.0,4.2,Fog,Medium,2,Meal,scooter,1.0,No,Metropolitian,,4,17.1,42.0,5.0,6.0
39.0,4.9,Stormy,Low,1,Buffet,motorcycle,1.0,No,Metropolitian,,3,3.11,23.0,10.0,9.0
30.0,4.8,Sandstorms,Medium,2,Drinks,electric_scooter,0.0,No,Metropolitian,,3,8.94,30.0,9.98,17.0
35.0,4.5,Sandstorms,Medium,1,Meal,scooter,1.0,No,Metropolitian,,3,17.07,30.0,15.0,10.0
31.0,4.9,Windy,High,1,Drinks,scooter,1.0,No,Metropolitian,,2,6.24,27.0,15.0,17.0
23.0,4.8,Fog,Low,0,Buffet,motorcycle,1.0,No,Metropolitian,,3,16.72,24.0,15.0,6.0
22.0,4.7,Stormy,Jam,1,Buffet,scooter,1.0,No,Metropolitian,,3,10.6,18.0,5.0,6.0
36.0,4.9,Cloudy,Jam,2,Buffet,electric_scooter,1.0,No,Urban,,4,16.85,37.0,15.0,6.0
24.0,4.9,Windy,Low,2,Meal,scooter,1.0,No,Urban,,4,13.83,17.0,9.98,6.0
27.0,4.6,Cloudy,Low,2,Meal,electric_scooter,0.0,No,Metropolitian,,3,1.55,15.0,5.0,15.0
24.0,4.8,Stormy,Jam,1,Buffet,motorcycle,0.0,No,Metropolitian,,2,7.49,15.0,10.0,15.0
26.0,4.5,Stormy,Low,0,Buffet,motorcycle,0.0,No,Urban,,3,3.06,19.0,5.0,19.0
26.0,4.4,Fog,Jam,2,Snack,motorcycle,1.0,No,Metropolitian,,2,16.79,33.0,5.0,18.0
33.0,4.9,Sunny,High,0,Drinks,motorcycle,1.0,No,Metropolitian,,3,6.23,27.0,5.0,19.0
33.0,4.8,Sandstorms,Low,2,Buffet,electric_scooter,1.0,No,Metropolitian,,4,17.3,21.0,5.0,6.0
26.0,4.8,Sunny,Jam,2,Buffet,scooter,0.0,No,Metropolitian,,4,16.72,11.0,15.0,4.0
28.0,4.8,Stormy,High,2,Snack,scooter,1.0,No,Metropolitian,,2,1.47,16.0,5.0,17.0
32.0,4.8,Stormy,Jam,2,Drinks,scooter,0.0,No,Urban,,4,7.76,28.0,10.0,5.0
32.0,5.0,Fog,Medium,1,Buffet,scooter,1.0,No,Metropolitian,,2,10.42,35.0,5.0,18.0
39.0,4.6,Fog,Low,0,Drinks,motorcycle,1.0,No,Metropolitian,,3,3.06,26.0,9.98,5.0
25.0,4.8,Stormy,Medium,1,Drinks,scooter,1.0,No,Metropolitian,,4,6.29,26.0,5.0,1.0
22.0,4.9,Windy,Medium,1,Snack,motorcycle,1.0,No,Metropolitian,,3,19.36,29.0,15.0,29.0
39.0,4.9,Stormy,High,0,Buffet,motorcycle,1.0,No,Metropolitian,,3,3.06,46.0,10.0,11.0
32.0,4.7,Windy,Low,1,Drinks,motorcycle,0.0,No,Metropolitian,,2,4.46,21.0,9.98,11.0
34.0,4.8,Stormy,Low,2,Buffet,motorcycle,1.0,No,Metropolitian,,3,1.53,23.0,15.0,15.0
39.0,4.2,Fog,Jam,2,Meal,motorcycle,1.0,No,Metropolitian,,3,10.88,35.0,15.0,10.0
26.0,4.9,Windy,Medium,1,Buffet,motorcycle,1.0,No,Metropolitian,,3,19.69,26.0,5.0,23.0
32.0,4.7,Cloudy,High,0,Buffet,motorcycle,1.0,No,Metropolitian,,3,6.22,31.0,5.0,17.0
25.0,4.0,Cloudy,Jam,1,Drinks,scooter,1.0,No,Urban,,3,4.54,31.0,9.98,17.0
31.0,4.7,Windy,Low,2,Buffet,scooter,1.0,No,Metropolitian,,4,7.45,28.0,10.0,1.0
38.0,4.7,Stormy,Medium,0,Meal,motorcycle,0.0,No,Metropolitian,,3,6.13,25.0,10.0,28.0
34.0,4.1,Cloudy,Jam,2,Buffet,motorcycle,1.0,No,Urban,,3,16.82,41.0,9.98,27.0
35.0,4.7,Cloudy,Medium,1,Buffet,scooter,1.0,No,Metropolitian,,3,6.12,19.0,15.0,19.0
28.0,5.0,Stormy,Low,0,Snack,motorcycle,1.0,No,Metropolitian,,3,20.21,17.0,10.0,2.0
39.0,4.3,Cloudy,Low,1,Snack,scooter,1.0,No,Metropolitian,,3,16.38,32.0,5.0,20.0
32.0,5.0,Cloudy,Jam,0,Meal,motorcycle,1.0,No,Metropolitian,,3,17.3,40.0,15.0,18.0
38.0,4.1,Cloudy,High,1,Drinks,motorcycle,2.0,No,Metropolitian,,2,6.24,38.0,9.98,13.0
39.0,4.6,Sandstorms,Low,1,Meal,scooter,0.0,No,Urban,,3,3.04,21.0,5.0,13.0
39.0,4.8,Sunny,Low,2,Drinks,electric_scooter,0.0,No,Urban,,4,1.56,10.0,15.0,5.0
34.0,4.6,Sunny,Medium,0,Drinks,motorcycle,1.0,No,Metropolitian,,3,17.14,31.0,10.0,14.0
35.0,4.3,Windy,Jam,0,Buffet,motorcycle,1.0,No,Metropolitian,,3,4.67,35.0,10.0,21.0
23.0,4.4,Stormy,Low,0,Drinks,motorcycle,1.0,No,Urban,,2,3.15,23.0,10.0,15.0
34.0,4.9,Sandstorms,Jam,0,Drinks,motorcycle,1.0,Yes,Metropolitian,,3,19.66,45.0,15.0,31.0
30.0,4.8,Windy,Medium,2,Buffet,scooter,1.0,No,Metropolitian,,3,7.79,34.0,5.0,3.0
24.0,4.4,Cloudy,Medium,1,Buffet,motorcycle,0.0,No,Metropolitian,,3,10.56,32.0,15.0,10.0
36.0,4.9,Sandstorms,Medium,2,Snack,scooter,0.0,No,Metropolitian,,3,9.08,32.0,5.0,3.0
22.0,4.7,Fog,Jam,0,Buffet,motorcycle,1.0,No,Metropolitian,,3,4.61,24.0,10.0,5.0
36.0,4.0,Windy,High,2,Meal,motorcycle,1.0,No,Metropolitian,,3,6.22,32.0,10.0,3.0
27.0,3.7,Sunny,Jam,0,Snack,motorcycle,3.0,No,Urban,,4,4.56,53.0,10.0,3.0
34.0,4.6,Cloudy,Jam,0,Snack,motorcycle,1.0,No,Metropolitian,,3,4.66,25.0,9.98,11.0
35.0,4.7,Sandstorms,Jam,1,Meal,scooter,1.0,No,Metropolitian,,3,13.68,25.0,9.98,10.0
25.0,4.8,Windy,Medium,1,Drinks,motorcycle,1.0,No,Metropolitian,,3,7.55,22.0,9.98,30.0
35.0,5.0,Sandstorms,Low,2,Snack,scooter,1.0,No,Metropolitian,,3,19.76,16.0,15.0,4.0
31.0,4.4,Cloudy,Jam,1,Snack,motorcycle,1.0,No,Metropolitian,,3,4.67,38.0,5.0,11.0
35.0,4.8,Sunny,Low,1,Snack,motorcycle,0.0,No,Urban,,3,3.06,15.0,10.0,7.0
20.0,4.7,Sunny,Medium,1,Buffet,motorcycle,0.0,No,Urban,,4,4.53,14.0,5.0,3.0
36.0,4.5,Fog,Medium,0,Meal,motorcycle,1.0,No,Metropolitian,,4,10.6,38.0,10.0,4.0
35.0,5.0,Sunny,Low,2,Snack,scooter,1.0,No,Urban,,3,12.42,20.0,5.0,6.0
29.566910587697237,4.8,Sandstorms,High,2,Buffet,motorcycle,0.0,No,Urban,,3,6.29,32.0,9.98,1.0
22.0,4.6,Fog,Low,2,Snack,motorcycle,1.0,No,Urban,,3,11.92,22.0,9.98,10.0
29.0,4.6,Cloudy,Medium,1,Buffet,motorcycle,1.0,No,Metropolitian,,3,10.64,28.0,10.0,25.0
22.0,4.9,Stormy,Low,1,Snack,motorcycle,0.0,No,Metropolitian,,3,13.97,15.0,9.98,4.0
20.0,4.1,Cloudy,Medium,2,Meal,motorcycle,1.0,No,Metropolitian,,3,10.6,36.0,5.0,25.0
37.0,4.5,Sunny,High,1,Buffet,scooter,0.0,No,Metropolitian,,3,6.05,17.0,10.0,17.0
30.0,4.6,Sunny,Jam,1,Snack,motorcycle,1.0,No,Metropolitian,,3,7.6,21.0,5.0,3.0
21.0,4.5,Windy,Jam,2,Meal,scooter,0.0,No,Urban,,3,9.32,14.0,15.0,5.0
28.0,3.5,Sunny,Low,2,Drinks,scooter,1.0,No,Metropolitian,,3,13.79,35.0,5.0,16.0
31.0,4.0,Windy,Low,0,Snack,motorcycle,1.0,No,Urban,,3,3.06,24.0,10.0,17.0
29.566910587697237,4.8,Sunny,Jam,2,Snack,scooter,0.0,No,Urban,,3,4.6,13.0,9.98,17.0
29.566910587697237,4.8,Fog,Low,3,Drinks,motorcycle,1.0,No,Metropolitian,,3,7.65,33.0,9.98,11.0
29.566910587697237,4.8,Fog,Low,3,Buffet,scooter,0.0,No,Urban,,2,5.87,13.0,9.98,15.0
25.0,4.9,Stormy,Medium,2,Buffet,motorcycle,1.0,No,Metropolitian,,4,10.87,19.0,9.98,6.0
26.0,4.2,Sandstorms,Low,0,Drinks,motorcycle,0.0,No,Metropolitian,,4,1.51,27.0,10.0,5.0
24.0,4.8,Fog,Jam,2,Buffet,electric_scooter,1.0,No,Metropolitian,,2,13.89,40.0,5.0,16.0
28.0,4.5,Windy,Jam,1,Buffet,scooter,1.0,No,Metropolitian,,3,19.69,25.0,9.98,16.0
35.0,5.0,Stormy,Low,1,Drinks,motorcycle,1.0,No,Metropolitian,,2,2.98,27.0,15.0,11.0
35.0,4.8,Stormy,Low,1,Meal,motorcycle,0.0,No,Metropolitian,,3,13.58,21.0,10.0,14.0
29.566910587697237,4.8,Sandstorms,Low,1,Buffet,motorcycle,0.0,No,Metropolitian,,2,2.94,12.0,9.98,15.0
39.0,4.2,Cloudy,Jam,1,Drinks,scooter,0.0,No,Urban,,3,12.29,48.0,15.0,25.0
24.0,5.0,Sandstorms,Low,2,Snack,scooter,0.0,No,Urban,,3,3.06,15.0,9.98,3.0
